entry_number,entry_date,description,org_id
68.0,2022-10-04 00:00:00,دفعه من حساب محمود العامل ,d5789445-11e3-4ad6-9297-b565216751141
68.0,2024-05-30 00:00:00,مستخلص رقم 24,d5789445-11e3-4ad6-9297-b565216751141
69.0,2024-05-30 00:00:00,مستخلص رقم 24,d5789445-11e3-4ad6-9297-b565216751141
70.0,2022-10-05 00:00:00,اكراميه سواق الحديد,d5789445-11e3-4ad6-9297-b565216751141
70.0,2024-07-30 00:00:00,مستخلص رقم 26,d5789445-11e3-4ad6-9297-b565216751141
71.0,2024-07-30 00:00:00,مستخلص رقم 26,d5789445-11e3-4ad6-9297-b565216751141
72.0,2022-10-05 00:00:00,سهره استشاري صب سقف 32 ,d5789445-11e3-4ad6-9297-b565216751141
72.0,2024-07-30 00:00:00,مستخلص رقم 26,d5789445-11e3-4ad6-9297-b565216751141
73.0,2024-06-30 00:00:00,تعويضات 2,d5789445-11e3-4ad6-9297-b565216751141
74.0,2022-10-06 00:00:00,19لتر ماء للكرافان,d5789445-11e3-4ad6-9297-b565216751141
74.0,2024-06-30 00:00:00,تعويضات 2,d5789445-11e3-4ad6-9297-b565216751141
75.0,2024-06-30 00:00:00,تعويضات 2,d5789445-11e3-4ad6-9297-b565216751141
76.0,2022-10-06 00:00:00,بنزين للمولد,d5789445-11e3-4ad6-9297-b565216751141
76.0,2024-08-30 00:00:00,تعويضات 3,d5789445-11e3-4ad6-9297-b565216751141
77.0,2024-08-30 00:00:00,تعويضات 3,d5789445-11e3-4ad6-9297-b565216751141
78.0,2022-10-06 00:00:00,بن وسكر وشاء للكرافان,d5789445-11e3-4ad6-9297-b565216751141
78.0,2024-08-30 00:00:00,تعويضات 3,d5789445-11e3-4ad6-9297-b565216751141
79.0,2024-09-30 00:00:00,مستخلص رقم 28,d5789445-11e3-4ad6-9297-b565216751141
80.0,2022-10-06 00:00:00,شكاره جراوت موقع عام  ,d5789445-11e3-4ad6-9297-b565216751141
80.0,2024-09-30 00:00:00,مستخلص رقم 28,d5789445-11e3-4ad6-9297-b565216751141
81.0,2024-09-30 00:00:00,مستخلص رقم 28,d5789445-11e3-4ad6-9297-b565216751141
82.0,2022-10-06 00:00:00,اكراميه سواق الحديد,d5789445-11e3-4ad6-9297-b565216751141
82.0,2022-12-21 00:00:00,سلفيات,d5789445-11e3-4ad6-9297-b565216751141
83.0,2023-01-04 00:00:00,رد سلفيات,d5789445-11e3-4ad6-9297-b565216751141
84.0,2022-10-06 00:00:00,من حساب سياره امير 1,d5789445-11e3-4ad6-9297-b565216751141
84.0,2022-12-08 00:00:00,سلفيات,d5789445-11e3-4ad6-9297-b565216751141
85.0,2022-12-10 00:00:00,سلفيات,d5789445-11e3-4ad6-9297-b565216751141
86.0,2022-10-06 00:00:00,من حساب الفرمجي محمد نصر ,d5789445-11e3-4ad6-9297-b565216751141
86.0,2023-01-04 00:00:00,رد سلفيات,d5789445-11e3-4ad6-9297-b565216751141
87.0,2023-01-19 00:00:00,سلفيات,d5789445-11e3-4ad6-9297-b565216751141
88.0,2022-10-06 00:00:00,من حساب مياه محمد فوزي ,d5789445-11e3-4ad6-9297-b565216751141
88.0,2023-04-01 00:00:00,رد سلفيات,d5789445-11e3-4ad6-9297-b565216751141
89.0,2022-05-17 00:00:00,سلفيات,d5789445-11e3-4ad6-9297-b565216751141
90.0,2022-10-06 00:00:00,ضيافه استشاري اثناء التسليم والصب خلال شهر 9 وضيافه اسرار دردير ,d5789445-11e3-4ad6-9297-b565216751141
90.0,2023-12-20 00:00:00,سلفيات,d5789445-11e3-4ad6-9297-b565216751141
91.0,2024-02-01 00:00:00,سلفيات,d5789445-11e3-4ad6-9297-b565216751141
92.0,2022-10-08 00:00:00,رد سلفيه م. منصور ,d5789445-11e3-4ad6-9297-b565216751141
92.0,2024-05-22 00:00:00,سلفيات,d5789445-11e3-4ad6-9297-b565216751141
93.0,2025-03-17 00:00:00,سلفيات,d5789445-11e3-4ad6-9297-b565216751141
94.0,2022-10-08 00:00:00,من حساب محمود العامل ,d5789445-11e3-4ad6-9297-b565216751141
94.0,2025-04-14 00:00:00,سلفيات,d5789445-11e3-4ad6-9297-b565216751141
95.0,2024-11-17 00:00:00,رد سلفيات,d5789445-11e3-4ad6-9297-b565216751141
96.0,2022-09-19 00:00:00,سلفيات,d5789445-11e3-4ad6-9297-b565216751141
96.0,2022-10-08 00:00:00,من ح/ سياره الاستشاري عن شهر 9,d5789445-11e3-4ad6-9297-b565216751141
97.0,2022-09-22 00:00:00,رد سلفيات,d5789445-11e3-4ad6-9297-b565216751141
98.0,2022-10-08 00:00:00,2 نسخه مفتاح للكرافان ,d5789445-11e3-4ad6-9297-b565216751141
98.0,2023-01-04 00:00:00,سلفيات,d5789445-11e3-4ad6-9297-b565216751141
99.0,2023-01-19 00:00:00,سلفيات,d5789445-11e3-4ad6-9297-b565216751141
100.0,2022-10-08 00:00:00,من حساب رواتب شهر 9,d5789445-11e3-4ad6-9297-b565216751141
100.0,2023-01-19 00:00:00,سلفيات,d5789445-11e3-4ad6-9297-b565216751141
101.0,2023-01-29 00:00:00,سلفيات,d5789445-11e3-4ad6-9297-b565216751141
102.0,2022-10-08 00:00:00,سهره استشاري صب سقف 27.وعمود اول 24. + اكراميه البمب,d5789445-11e3-4ad6-9297-b565216751141
102.0,2023-02-08 00:00:00,سلفيات,d5789445-11e3-4ad6-9297-b565216751141
103.0,2022-12-25 00:00:00,رد سلفيات,d5789445-11e3-4ad6-9297-b565216751141
104.0,2022-10-08 00:00:00,سهره استشاري صب سقف 27.وعمود اول 24. + اكراميه البمب,d5789445-11e3-4ad6-9297-b565216751141
104.0,2023-02-12 00:00:00,رد سلفيات,d5789445-11e3-4ad6-9297-b565216751141
105.0,2022-12-14 00:00:00,سلفيه لحياه كريمه,d5789445-11e3-4ad6-9297-b565216751141
106.0,2022-10-08 00:00:00,بنزين ,d5789445-11e3-4ad6-9297-b565216751141
106.0,2024-01-11 00:00:00,رد سلفيه من حياه كريمه,d5789445-11e3-4ad6-9297-b565216751141
107.0,2024-05-22 00:00:00,سلفيه لحياه كريمه,d5789445-11e3-4ad6-9297-b565216751141
108.0,2022-10-08 00:00:00,حساب العامل محمود,d5789445-11e3-4ad6-9297-b565216751141
108.0,2024-05-27 00:00:00,رد سلفيه من حياه كريمه,d5789445-11e3-4ad6-9297-b565216751141
109.0,2024-05-30 00:00:00,سلفيه لحياه كريمه,d5789445-11e3-4ad6-9297-b565216751141
110.0,2022-10-08 00:00:00,حساب اسكنر لوحات a0  8لوحات ,d5789445-11e3-4ad6-9297-b565216751141
110.0,2024-07-14 00:00:00,رد سلفيه من حياه كريمه,d5789445-11e3-4ad6-9297-b565216751141
111.0,2024-07-25 00:00:00,سلفيات,d5789445-11e3-4ad6-9297-b565216751141
112.0,2022-10-10 00:00:00,ضيافه المهندس محمد مشرف,d5789445-11e3-4ad6-9297-b565216751141
112.0,2024-10-10 00:00:00,رد سلفيات,d5789445-11e3-4ad6-9297-b565216751141
