EntryNo,EntryDate,OldCode,OldName,Narration,Debit,Credit,Notes,OldNameNorm,OldCode_Original,OldName_Original,LegacyID,NewCode,NewAccountName,NewType,EntryDate_only,entry_number,tx_key
8,2022-10-30 00:00:00,31,التكاليف .,مستخلص رقم 5,0.0,0.0,,التكاليف,31,التكاليف .,31,5100,تكاليف المشروعات/التشغيل,EXP,2022-10-30,8,8|2022-10-30
8,2022-10-30 00:00:00,2352,ضرائب الخصم,مستخلص رقم 5,37295.7665,0.0,,ضرايب الخصم,2352,ضرائب الخصم,2352,22303,ضرائب الخصم,LIAB,2022-10-30,8,8|2022-10-30
8,2022-10-30 00:00:00,13111,تامينات العملاء,مستخلص رقم 5,195802.77500000002,0.0,,تامينات العملاء,13111,تامينات العملاء,13111,12113,تامينات العملاء,ASSET,2022-10-30,8,8|2022-10-30
8,2022-10-30 00:00:00,13111,تامينات العملاء,مستخلص رقم 5,9790.13875,0.0,,تامينات العملاء,13111,تامينات العملاء,13111,12113,تامينات العملاء,ASSET,2022-10-30,8,8|2022-10-30
8,2022-10-30 00:00:00,2356,ضرائب القيمة المضافة,مستخلص رقم 5,186478.85,0.0,,ضرايب القيمه المضافه,2356,ضرائب القيمة المضافة,2356,22306,ضرائب القيمة المضافة,LIAB,2022-10-30,8,8|2022-10-30
8,2022-10-30 00:00:00,221,عملاء دفعات مقدمة .,مستخلص رقم 5,391605.55000000005,0.0,,عملاء دفعات مقدمه,221,عملاء دفعات مقدمة .,221,22201,عملاء دفعات مقدمة .,LIAB,2022-10-30,8,8|2022-10-30
8,2022-10-30 00:00:00,134,العملاء .,مستخلص رقم 5,0.0,1078587.3357044605,,العملاء,134,العملاء .,134,12201,العملاء .,ASSET,2022-10-30,8,8|2022-10-30
9,2022-10-30 00:00:00,132,البنوك .,مستخلص رقم 5,2604370.0210721865,0.0,,البنوك,132,البنوك .,132,12103,البنوك .,ASSET,2022-10-30,9,9|2022-10-30
9,2022-10-30 00:00:00,134,العملاء .,مستخلص رقم 5,233098.1432233528,0.0,,العملاء,134,العملاء .,134,12201,العملاء .,ASSET,2022-10-30,9,9|2022-10-30
9,2022-10-30 00:00:00,134,العملاء .,مستخلص رقم 5,0.0,2837468.1642955393,,العملاء,134,العملاء .,134,12201,العملاء .,ASSET,2022-10-30,9,9|2022-10-30
10,2022-11-30 00:00:00,134,العملاء .,مستخلص رقم 6,7863446.5,0.0,,العملاء,134,العملاء .,134,12201,العملاء .,ASSET,2022-11-30,10,10|2022-11-30
10,2022-11-30 00:00:00,41,ايرادات العمليات,مستخلص رقم 6,0.0,7863446.5,,ايرادات العمليات,41,ايرادات العمليات,41,4100,إيرادات التشغيل/العقود,REV,2022-11-30,10,10|2022-11-30
11,2022-11-30 00:00:00,31,التكاليف .,مستخلص رقم 6,33704.383022764996,0.0,,التكاليف,31,التكاليف .,31,5100,تكاليف المشروعات/التشغيل,EXP,2022-11-30,11,11|2022-11-30
11,2022-11-30 00:00:00,31,التكاليف .,مستخلص رقم 6,33704.383022764996,0.0,,التكاليف,31,التكاليف .,31,5100,تكاليف المشروعات/التشغيل,EXP,2022-11-30,11,11|2022-11-30
11,2022-11-30 00:00:00,31,التكاليف .,مستخلص رقم 6,45069.894056005,0.0,,التكاليف,31,التكاليف .,31,5100,تكاليف المشروعات/التشغيل,EXP,2022-11-30,11,11|2022-11-30
11,2022-11-30 00:00:00,31,التكاليف .,مستخلص رقم 6,135209.7686659265,0.0,,التكاليف,31,التكاليف .,31,5100,تكاليف المشروعات/التشغيل,EXP,2022-11-30,11,11|2022-11-30
11,2022-11-30 00:00:00,31,التكاليف .,مستخلص رقم 6,164009.0,0.0,,التكاليف,31,التكاليف .,31,5100,تكاليف المشروعات/التشغيل,EXP,2022-11-30,11,11|2022-11-30
11,2022-11-30 00:00:00,31,التكاليف .,مستخلص رقم 6,26960.0,0.0,,التكاليف,31,التكاليف .,31,5100,تكاليف المشروعات/التشغيل,EXP,2022-11-30,11,11|2022-11-30
11,2022-11-30 00:00:00,31,التكاليف .,مستخلص رقم 6,78634.465,0.0,,التكاليف,31,التكاليف .,31,5100,تكاليف المشروعات/التشغيل,EXP,2022-11-30,11,11|2022-11-30
11,2022-11-30 00:00:00,31,التكاليف .,مستخلص رقم 6,0.0,0.0,,التكاليف,31,التكاليف .,31,5100,تكاليف المشروعات/التشغيل,EXP,2022-11-30,11,11|2022-11-30
11,2022-11-30 00:00:00,31,التكاليف .,مستخلص رقم 6,0.0,0.0,,التكاليف,31,التكاليف .,31,5100,تكاليف المشروعات/التشغيل,EXP,2022-11-30,11,11|2022-11-30
11,2022-11-30 00:00:00,31,التكاليف .,مستخلص رقم 6,0.0,0.0,,التكاليف,31,التكاليف .,31,5100,تكاليف المشروعات/التشغيل,EXP,2022-11-30,11,11|2022-11-30
11,2022-11-30 00:00:00,2352,ضرائب الخصم,مستخلص رقم 6,74889.96650000001,0.0,,ضرايب الخصم,2352,ضرائب الخصم,2352,22303,ضرائب الخصم,LIAB,2022-11-30,11,11|2022-11-30
11,2022-11-30 00:00:00,13111,تامينات العملاء,مستخلص رقم 6,393172.325,0.0,,تامينات العملاء,13111,تامينات العملاء,13111,12113,تامينات العملاء,ASSET,2022-11-30,11,11|2022-11-30
11,2022-11-30 00:00:00,13111,تامينات العملاء,مستخلص رقم 6,19658.61625,0.0,,تامينات العملاء,13111,تامينات العملاء,13111,12113,تامينات العملاء,ASSET,2022-11-30,11,11|2022-11-30
11,2022-11-30 00:00:00,2356,ضرائب القيمة المضافة,مستخلص رقم 6,374449.85,0.0,,ضرايب القيمه المضافه,2356,ضرائب القيمة المضافة,2356,22306,ضرائب القيمة المضافة,LIAB,2022-11-30,11,11|2022-11-30
11,2022-11-30 00:00:00,221,عملاء دفعات مقدمة .,مستخلص رقم 6,786344.65,0.0,,عملاء دفعات مقدمه,221,عملاء دفعات مقدمة .,221,22201,عملاء دفعات مقدمة .,LIAB,2022-11-30,11,11|2022-11-30
11,2022-11-30 00:00:00,134,العملاء .,مستخلص رقم 6,0.0,2165807.3015174614,,العملاء,134,العملاء .,134,12201,العملاء .,ASSET,2022-11-30,11,11|2022-11-30
12,2022-11-30 00:00:00,132,البنوك .,مستخلص رقم 6,5229577.706890764,0.0,,البنوك,132,البنوك .,132,12103,البنوك .,ASSET,2022-11-30,12,12|2022-11-30
12,2022-11-30 00:00:00,134,العملاء .,مستخلص رقم 6,468061.49159177445,0.0,,العملاء,134,العملاء .,134,12201,العملاء .,ASSET,2022-11-30,12,12|2022-11-30
12,2022-11-30 00:00:00,134,العملاء .,مستخلص رقم 6,0.0,5697639.198482539,,العملاء,134,العملاء .,134,12201,العملاء .,ASSET,2022-11-30,12,12|2022-11-30
13,2022-12-30 00:00:00,134,العملاء .,مستخلص رقم 7,5591077.25,0.0,,العملاء,134,العملاء .,134,12201,العملاء .,ASSET,2022-12-30,13,13|2022-12-30
13,2022-12-30 00:00:00,41,ايرادات العمليات,مستخلص رقم 7,0.0,5591077.25,,ايرادات العمليات,41,ايرادات العمليات,41,4100,إيرادات التشغيل/العقود,REV,2022-12-30,13,13|2022-12-30
14,2022-12-30 00:00:00,31,التكاليف .,مستخلص رقم 7,23964.531219722496,0.0,,التكاليف,31,التكاليف .,31,5100,تكاليف المشروعات/التشغيل,EXP,2022-12-30,14,14|2022-12-30
14,2022-12-30 00:00:00,31,التكاليف .,مستخلص رقم 7,23964.531219722496,0.0,,التكاليف,31,التكاليف .,31,5100,تكاليف المشروعات/التشغيل,EXP,2022-12-30,14,14|2022-12-30
14,2022-12-30 00:00:00,31,التكاليف .,مستخلص رقم 7,32045.6506337825,0.0,,التكاليف,31,التكاليف .,31,5100,تكاليف المشروعات/التشغيل,EXP,2022-12-30,14,14|2022-12-30
14,2022-12-30 00:00:00,31,التكاليف .,مستخلص رقم 7,96137.01340319724,0.0,,التكاليف,31,التكاليف .,31,5100,تكاليف المشروعات/التشغيل,EXP,2022-12-30,14,14|2022-12-30
14,2022-12-30 00:00:00,31,التكاليف .,مستخلص رقم 7,116612.986381705,0.0,,التكاليف,31,التكاليف .,31,5100,تكاليف المشروعات/التشغيل,EXP,2022-12-30,14,14|2022-12-30
14,2022-12-30 00:00:00,31,التكاليف .,مستخلص رقم 7,19169.500366423003,0.0,,التكاليف,31,التكاليف .,31,5100,تكاليف المشروعات/التشغيل,EXP,2022-12-30,14,14|2022-12-30
14,2022-12-30 00:00:00,31,التكاليف .,مستخلص رقم 7,55910.7725,0.0,,التكاليف,31,التكاليف .,31,5100,تكاليف المشروعات/التشغيل,EXP,2022-12-30,14,14|2022-12-30
14,2022-12-30 00:00:00,31,التكاليف .,مستخلص رقم 7,0.0,0.0,,التكاليف,31,التكاليف .,31,5100,تكاليف المشروعات/التشغيل,EXP,2022-12-30,14,14|2022-12-30
14,2022-12-30 00:00:00,31,التكاليف .,مستخلص رقم 7,0.0,0.0,,التكاليف,31,التكاليف .,31,5100,تكاليف المشروعات/التشغيل,EXP,2022-12-30,14,14|2022-12-30
14,2022-12-30 00:00:00,31,التكاليف .,مستخلص رقم 7,0.0,0.0,,التكاليف,31,التكاليف .,31,5100,تكاليف المشروعات/التشغيل,EXP,2022-12-30,14,14|2022-12-30
14,2022-12-30 00:00:00,2352,ضرائب الخصم,مستخلص رقم 7,53249.41972900001,0.0,,ضرايب الخصم,2352,ضرائب الخصم,2352,22303,ضرائب الخصم,LIAB,2022-12-30,14,14|2022-12-30
14,2022-12-30 00:00:00,13111,تامينات العملاء,مستخلص رقم 7,279553.8625,0.0,,تامينات العملاء,13111,تامينات العملاء,13111,12113,تامينات العملاء,ASSET,2022-12-30,14,14|2022-12-30
14,2022-12-30 00:00:00,13111,تامينات العملاء,مستخلص رقم 7,13977.693125,0.0,,تامينات العملاء,13111,تامينات العملاء,13111,12113,تامينات العملاء,ASSET,2022-12-30,14,14|2022-12-30
14,2022-12-30 00:00:00,2356,ضرائب القيمة المضافة,مستخلص رقم 7,266135.2771,0.0,,ضرايب القيمه المضافه,2356,ضرائب القيمة المضافة,2356,22306,ضرائب القيمة المضافة,LIAB,2022-12-30,14,14|2022-12-30
14,2022-12-30 00:00:00,221,عملاء دفعات مقدمة .,مستخلص رقم 7,559107.725,0.0,,عملاء دفعات مقدمه,221,عملاء دفعات مقدمة .,221,22201,عملاء دفعات مقدمة .,LIAB,2022-12-30,14,14|2022-12-30
14,2022-12-30 00:00:00,134,العملاء .,مستخلص رقم 7,0.0,1539828.9631785527,,العملاء,134,العملاء .,134,12201,العملاء .,ASSET,2022-12-30,14,14|2022-12-30
15,2022-12-30 00:00:00,132,البنوك .,مستخلص رقم 7,3718446.638429761,0.0,,البنوك,132,البنوك .,132,12103,البنوك .,ASSET,2022-12-30,15,15|2022-12-30
15,2022-12-30 00:00:00,134,العملاء .,مستخلص رقم 7,332801.64839168626,0.0,,العملاء,134,العملاء .,134,12201,العملاء .,ASSET,2022-12-30,15,15|2022-12-30
15,2022-12-30 00:00:00,134,العملاء .,مستخلص رقم 7,0.0,4051248.2868214473,,العملاء,134,العملاء .,134,12201,العملاء .,ASSET,2022-12-30,15,15|2022-12-30
16,2022-12-30 00:00:00,134,العملاء .,مستخلص رقم 8,4754467.25,0.0,,العملاء,134,العملاء .,134,12201,العملاء .,ASSET,2022-12-30,16,16|2022-12-30
16,2022-12-30 00:00:00,233,العملاء تشوينات .,مستخلص رقم 8,283365.0,0.0,,العملاء تشوينات,233,العملاء تشوينات .,233,22202,العملاء تشوينات .,LIAB,2022-12-30,16,16|2022-12-30
16,2023-01-30 00:00:00,41,ايرادات العمليات,مستخلص رقم 8,0.0,5037832.25,,ايرادات العمليات,41,ايرادات العمليات,41,4100,إيرادات التشغيل/العقود,REV,2023-01-30,16,16|2023-01-30
17,2023-01-30 00:00:00,31,التكاليف .,مستخلص رقم 8,21589.50107136245,0.0,,التكاليف,31,التكاليف .,31,5100,تكاليف المشروعات/التشغيل,EXP,2023-01-30,17,17|2023-01-30
17,2023-01-30 00:00:00,31,التكاليف .,مستخلص رقم 8,21589.50107136245,0.0,,التكاليف,31,التكاليف .,31,5100,تكاليف المشروعات/التشغيل,EXP,2023-01-30,17,17|2023-01-30
17,2023-01-30 00:00:00,31,التكاليف .,مستخلص رقم 8,28887.34999962887,0.0,,التكاليف,31,التكاليف .,31,5100,تكاليف المشروعات/التشغيل,EXP,2023-01-30,17,17|2023-01-30
17,2023-01-30 00:00:00,31,التكاليف .,مستخلص رقم 8,86662.0543001878,0.0,,التكاليف,31,التكاليف .,31,5100,تكاليف المشروعات/التشغيل,EXP,2023-01-30,17,17|2023-01-30
17,2023-01-30 00:00:00,31,التكاليف .,مستخلص رقم 8,0.0,0.0,,التكاليف,31,التكاليف .,31,5100,تكاليف المشروعات/التشغيل,EXP,2023-01-30,17,17|2023-01-30
17,2023-01-30 00:00:00,31,التكاليف .,مستخلص رقم 8,16301.109359743,0.0,,التكاليف,31,التكاليف .,31,5100,تكاليف المشروعات/التشغيل,EXP,2023-01-30,17,17|2023-01-30
17,2023-01-30 00:00:00,31,التكاليف .,مستخلص رقم 8,47544.6725,0.0,,التكاليف,31,التكاليف .,31,5100,تكاليف المشروعات/التشغيل,EXP,2023-01-30,17,17|2023-01-30
17,2023-01-30 00:00:00,31,التكاليف .,مستخلص رقم 8,0.0,0.0,,التكاليف,31,التكاليف .,31,5100,تكاليف المشروعات/التشغيل,EXP,2023-01-30,17,17|2023-01-30
17,2023-01-30 00:00:00,31,التكاليف .,مستخلص رقم 8,0.0,0.0,,التكاليف,31,التكاليف .,31,5100,تكاليف المشروعات/التشغيل,EXP,2023-01-30,17,17|2023-01-30
17,2023-01-30 00:00:00,31,التكاليف .,مستخلص رقم 8,0.0,0.0,,التكاليف,31,التكاليف .,31,5100,تكاليف المشروعات/التشغيل,EXP,2023-01-30,17,17|2023-01-30
17,2023-01-30 00:00:00,2352,ضرائب الخصم,مستخلص رقم 8,45280.6427402225,0.0,,ضرايب الخصم,2352,ضرائب الخصم,2352,22303,ضرائب الخصم,LIAB,2023-01-30,17,17|2023-01-30
17,2023-01-30 00:00:00,13111,تامينات العملاء,مستخلص رقم 8,237723.36250000002,0.0,,تامينات العملاء,13111,تامينات العملاء,13111,12113,تامينات العملاء,ASSET,2023-01-30,17,17|2023-01-30
17,2023-01-30 00:00:00,13111,تامينات العملاء,مستخلص رقم 8,11886.168125,0.0,,تامينات العملاء,13111,تامينات العملاء,13111,12113,تامينات العملاء,ASSET,2023-01-30,17,17|2023-01-30
17,2023-01-30 00:00:00,2356,ضرائب القيمة المضافة,مستخلص رقم 8,226402.97597774997,0.0,,ضرايب القيمه المضافه,2356,ضرائب القيمة المضافة,2356,22306,ضرائب القيمة المضافة,LIAB,2023-01-30,17,17|2023-01-30
17,2023-01-30 00:00:00,221,عملاء دفعات مقدمة .,مستخلص رقم 8,503783.22500000003,0.0,,عملاء دفعات مقدمه,221,عملاء دفعات مقدمة .,221,22201,عملاء دفعات مقدمة .,LIAB,2023-01-30,17,17|2023-01-30
17,2023-01-30 00:00:00,134,العملاء .,مستخلص رقم 8,0.0,1247650.5626452572,,العملاء,134,العملاء .,134,12201,العملاء .,ASSET,2023-01-30,17,17|2023-01-30
18,2023-01-30 00:00:00,132,البنوك .,مستخلص رقم 8,3507177.69,0.0,,البنوك,132,البنوك .,132,12103,البنوك .,ASSET,2023-01-30,18,18|2023-01-30
18,2023-01-30 00:00:00,134,العملاء .,مستخلص رقم 8,283004.0,0.0,,العملاء,134,العملاء .,134,12201,العملاء .,ASSET,2023-01-30,18,18|2023-01-30
18,2023-01-30 00:00:00,134,العملاء .,مستخلص رقم 8,0.0,3790181.69,,العملاء,134,العملاء .,134,12201,العملاء .,ASSET,2023-01-30,18,18|2023-01-30
19,2023-01-31 00:00:00,134,العملاء .,مستخلص رقم 9,6716422.0,0.0,,العملاء,134,العملاء .,134,12201,العملاء .,ASSET,2023-01-31,19,19|2023-01-31
19,2023-01-31 00:00:00,233,العملاء تشوينات .,مستخلص رقم 9,205801.875,0.0,,العملاء تشوينات,233,العملاء تشوينات .,233,22202,العملاء تشوينات .,LIAB,2023-01-31,19,19|2023-01-31
19,2023-01-31 00:00:00,41,ايرادات العمليات,مستخلص رقم 9,0.0,6922223.875,,ايرادات العمليات,41,ايرادات العمليات,41,4100,إيرادات التشغيل/العقود,REV,2023-01-31,19,19|2023-01-31
