LegacyID,LegacyCode,LegacyName,LegacyPosting,LegacyType,NewCode,NewAccountName,NewParentCode,NewType,NewPosting
355,355,اهلاك الاثاث و مهمات,0,EXP,54005,اهلاك الاثاث و مهمات,5400.0,EXP,0
356,356,اهلاك الحاسب الالى,0,EXP,54006,اهلاك الحاسب الالى,5400.0,EXP,0
391,391,مصاريف التزامات اقرارات معدله .,0,EXP,52001,مصاريف التزامات اقرارات معدله .,5200.0,EXP,0
392,392,مصروف ضريبة توزيعات ارباح الاستثمار .,0,EXP,56001,مصروف ضريبة توزيعات ارباح الاستثمار .,5600.0,EXP,0
393,393,مصروف المساهمة التكافلية .,0,EXP,52002,مصروف المساهمة التكافلية .,5200.0,EXP,0
394,394,مصروف ضرائب اذون خزانة محققة.,0,EXP,52003,مصروف ضرائب اذون خزانة محققة.,5200.0,EXP,0
2,2,الخصوم,0,LIAB,2000,الالتزامات,,LIAB,0
22,22,الالتزامات طويلة الاجل,0,LIAB,2100,التزامات غير متداولة,2000.0,LIAB,0
23,23,الالتزامات المتداولة,0,LIAB,2200,التزامات متداولة,2000.0,LIAB,0
55,55,موردين تحت التسوية .,0,LIAB,22101,موردين تحت التسوية .,2210.0,LIAB,0
57,57,الدائنون,0,LIAB,22801,الدائنون,2280.0,LIAB,0
221,221,عملاء دفعات مقدمة .,1,LIAB,22201,عملاء دفعات مقدمة .,2220.0,LIAB,1
231,231,اوراق الدفع .,0,LIAB,22102,اوراق الدفع .,2210.0,LIAB,0
232,232,المقاولون .,1,LIAB,22103,المقاولون .,2210.0,LIAB,1
233,233,العملاء تشوينات .,1,LIAB,22202,العملاء تشوينات .,2220.0,LIAB,1
234,234,الموردين .,1,LIAB,22104,الموردين .,2210.0,LIAB,1
235,235,الضرائب .,0,LIAB,22301,الضرائب .,2230.0,LIAB,0
236,236,تامينات للغير .,1,LIAB,22701,تامينات للغير .,2270.0,LIAB,1
237,237,المخصصات .,0,LIAB,22501,المخصصات .,2250.0,LIAB,0
238,238,تعديل القيم الدفترية للاسهم .,0,LIAB,22001,تعديل القيم الدفترية للاسهم .,2200.0,LIAB,0
239,239,تعديل ارصدة المدينون .,0,LIAB,22002,تعديل ارصدة المدينون .,2200.0,LIAB,0
2311,2311,مخصص ضريبة الدخل .,0,LIAB,22105,مخصص ضريبة الدخل .,2210.0,LIAB,0
2312,2312,مخصص التزامات ضريبية مؤجلة .,0,LIAB,22106,مخصص التزامات ضريبية مؤجلة .,2210.0,LIAB,0
2313,2313,مخصص التزامات محتمله .,0,LIAB,22107,مخصص التزامات محتمله .,2210.0,LIAB,0
2314,2314,عوائد اذون خزانة محققة .,0,LIAB,22108,عوائد اذون خزانة محققة .,2210.0,LIAB,0
2316,2316,مخازن تحويلات .,0,LIAB,22109,مخازن تحويلات .,2210.0,LIAB,0
2317,2317,مخصص المساهمة التكافلية .,0,LIAB,22110,مخصص المساهمة التكافلية .,2210.0,LIAB,0
2331,2331,عملاء تشوينات اعمال,0,LIAB,22203,عملاء تشوينات اعمال,2220.0,LIAB,0
2332,2332,عملاء تشوينات اصول ومواد خام,0,LIAB,22204,عملاء تشوينات اصول ومواد خام,2220.0,LIAB,0
2333,2333,عملاء تشوينات فروق اسعار,0,LIAB,22205,عملاء تشوينات فروق اسعار,2220.0,LIAB,0
2351,2351,ضرائب العملاء,0,LIAB,22302,ضرائب العملاء,2230.0,LIAB,0
2352,2352,ضرائب الخصم,1,LIAB,22303,ضرائب الخصم,2230.0,LIAB,1
2353,2353,دمغة توقيع,0,LIAB,22304,دمغة توقيع,2230.0,LIAB,0
2354,2354,دمغة نسبية,0,LIAB,22305,دمغة نسبية,2230.0,LIAB,0
2356,2356,ضرائب القيمة المضافة,1,LIAB,22306,ضرائب القيمة المضافة,2230.0,LIAB,1
2358,2358,ضرائب اذون خزانة غير محققة,0,LIAB,22307,ضرائب اذون خزانة غير محققة,2230.0,LIAB,0
2359,2359,ضرائب اذون خزانة محققة,0,LIAB,22308,ضرائب اذون خزانة محققة,2230.0,LIAB,0
2371,2371,مخصص ديون مشكوك فى تحصيلها - عملاء,0,LIAB,22502,مخصص ديون مشكوك فى تحصيلها - عملاء,2250.0,LIAB,0
23511,23511,دمغة حكومية,0,LIAB,22309,دمغة حكومية,2230.0,LIAB,0
23512,23512,ضريبة الدخل للاسخاص الاعتبارية,0,LIAB,22310,ضريبة الدخل للاسخاص الاعتبارية,2230.0,LIAB,0
23513,23513,ارباح تجارية وصناعية - رسوم جمركية,0,LIAB,22311,ارباح تجارية وصناعية - رسوم جمركية,2230.0,LIAB,0
23514,23514,الضريبة على توزيعات ارباح المساهمين,0,LIAB,22312,الضريبة على توزيعات ارباح المساهمين,2230.0,LIAB,0
4,4,الايرادات .,0,REV,4000,الإيرادات,,REV,0
41,41,ايرادات العمليات,1,REV,4100,إيرادات التشغيل/العقود,4000.0,REV,1
42,42,ايرادات متنوعة,0,REV,4200,إيرادات أخرى,4000.0,REV,1
51::ايراد ضريبي موجل,51,ايراد ضريبى مؤجل  .,0,REV,57102,ايراد ضريبى مؤجل  .,5710.0,REV,0
56,56,ارباح وخسائر راسمالية.,1,REV,42101,ارباح وخسائر راسمالية.,4210.0,REV,1
421,421,1,0,REV,42001,1,4200.0,REV,0
422,422,2,0,REV,42002,2,4200.0,REV,0
423,423,3,0,REV,42003,3,4200.0,REV,0
424,424,4,0,REV,42004,4,4200.0,REV,0
425,425,5,0,REV,42005,5,4200.0,REV,0
